"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69473","G2/M DNA damage checkpoint","59/2399","95/10654",1.06917351238512e-16,1.33646689048141e-14,1.07838170531476e-14,"H2BC10/H2BC17/PIAS4/BLM/MDC1/TP53/H2AX/TOP3A/RPA1/EXO1/CCNB1/DNA2/RFC3/RFC5/RNF168/ATM/H2BC12/H2BC9/H4C9/CHEK1/H4C13/CDC25C/RFC2/H2BC15/NSD2/H2BC14/TOPBP1/BRIP1/H4C15/H4C14/BARD1/H4C5/H4C2/YWHAZ/H2BC11/H2BC6/H2BC8/H4C1/H2BC7/RPA2/H4C4/RFC4/BRCA1/ATR/CHEK2/H4C3/CDK1/H2BC13/H2BC5/RMI1/RBBP8/SUMO1/H4C6/H2BU1/RHNO1/H2BC4/YWHAG/BRCC3/WRN",59
"R-HSA-73894","DNA Repair","141/2399","334/10654",2.73632015672926e-16,3.13536684625228e-14,2.52989600455495e-14,"FANCA/H2BC10/FANCG/BRCA2/MUTYH/H2BC17/PIAS4/BLM/MDC1/TP53/PAXIP1/RUVBL1/LIG3/H2AX/GTF2H3/TOP3A/POLK/POLR2H/KPNA2/APEX1/XRCC2/RPA1/POLE/CCNA2/EXO1/H2AZ2/EP300/LIG1/TERF1/UBE2T/INO80D/PCLAF/DNA2/RFC3/RFC5/H2AC8/UNG/FANCD2/FEN1/RNF168/TIMELESS/ATM/TDP1/USP7/RBX1/ACTR5/H2BC12/H2BC9/PARP1/H4C9/MSH6/CHEK1/MSH2/KDM4A/CUL4B/H4C13/DTL/RFC2/H2BC15/MAD2L2/FANCI/NSD2/POLD1/FANCF/POLD3/RAD51AP1/POLQ/PCNA/H2BC14/H2AC20/RIF1/CLSPN/TOPBP1/BRIP1/INO80C/H4C15/H4C14/BARD1/SMARCA5/CCNA1/PRPF19/XRCC1/RAD51/H4C5/H4C2/H2BC11/H2AC4/H2BC6/COPS4/COPS5/RAD18/H2BC8/TIPIN/H4C1/H2BC7/XRCC5/RPA2/H4C4/RFC4/FANCL/PALB2/BRCA1/POLE2/USP10/LIG4/POLR2K/EYA3/CDK7/ATR/CHEK2/H4C3/PRKDC/XRCC6/EME1/AQR/USP45/POLR2D/H2BC13/H2BC5/POLR2B/H2AZ1/H2AC14/RMI1/PARP2/RBBP8/FANCE/H2AC6/SUMO1/H4C6/POLB/H2BU1/GEN1/USP1/RHNO1/H2BC4/NEIL3/TCEA1/FANCM/BRCC3/WRN/DCLRE1A",141
"R-HSA-157579","Telomere Maintenance","53/2399","82/10654",3.19463391766915e-16,3.3789397206116e-14,2.72643250949254e-14,"H2BC10/POLA2/H2BC17/RUVBL1/H2AX/RPA1/POLE/H2AZ2/POLA1/LIG1/PRIM1/TERF1/RUVBL2/DNA2/RFC3/RFC5/H2AC8/FEN1/H2BC12/H2BC9/H4C9/H4C13/RFC2/H2BC15/POLD1/POLD3/PCNA/H2BC14/H2AC20/DKC1/H4C15/H4C14/H4C5/H4C2/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/RPA2/H4C4/RFC4/POLE2/H4C3/H2BC13/H2BC5/H2AZ1/H2AC14/H2AC6/H4C6/H2BU1/H2BC4",53
"R-HSA-2299718","Condensation of Prophase Chromosomes","49/2399","74/10654",9.87836184145101e-16,9.70196252285367e-14,7.82841607585667e-14,"H2BC10/H2BC17/H3C8/SET/H2AX/H2AZ2/NCAPD3/CCNB1/PLK1/H2AC8/NCAPG2/H2BC12/H2BC9/H3C10/H4C9/H4C13/H2BC15/H3-3B/H3C11/H2BC14/H3C1/H2AC20/H3C7/H4C15/H4C14/H3C2/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/H4C4/H4C3/CDK1/PHF8/H2BC13/H2BC5/H2AZ1/SMC2/H2AC14/H2AC6/H4C6/H2BU1/H2BC4/SMC4",49
"R-HSA-912446","Meiotic recombination","54/2399","86/10654",1.07528424599047e-15,9.85677225491262e-14,7.95333049315055e-14,"H2BC10/PSMC3IP/BRCA2/H2BC17/BLM/H3C8/H2AX/MLH3/TOP3A/RPA1/H2AZ2/H2AC8/ATM/H2BC12/H2BC9/H3C10/H4C9/H4C13/H2BC15/H3-3B/H3C11/H2BC14/H3C1/H2AC20/H3C7/H4C15/H4C14/H3C2/CDK4/RAD51/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/RPA2/H4C4/MND1/BRCA1/H4C3/H2BC13/H2BC5/DMC1/H2AZ1/H2AC14/RBBP8/H2AC6/H4C6/H2BU1/H2BC4",54
"R-HSA-212300","PRC2 methylates histones and DNA","48/2399","73/10654",2.95389589085565e-15,2.53850428120407e-13,2.04829359800122e-13,"DNMT3B/H2BC10/JARID2/H2BC17/H3C8/H2AX/DNMT1/H2AZ2/H2AC8/H2BC12/H2BC9/H3C10/H4C9/H4C13/EZH2/H2BC15/H3-3B/H3C11/MTF2/H2BC14/H3C1/H2AC20/H3C7/H4C15/H4C14/H3C2/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/H4C4/H4C3/H2BC13/RBBP4/H2BC5/H2AZ1/H2AC14/H2AC6/H4C6/H2BU1/H2BC4/AEBP2/SUZ12",48
"R-HSA-211000","Gene Silencing by RNA","72/2399","136/10654",7.73409864287882e-15,6.25552096115199e-13,5.04751700903671e-13,"H2BC10/AGO2/NDC1/H2BC17/H3C8/H2AX/POLR2H/H2AZ2/NUP188/TNRC6C/NUP155/H2AC8/H2BC12/H2BC9/NUP50/H3C10/H4C9/TDRKH/NUP210/H4C13/H2BC15/NUP88/H3-3B/H3C11/NUP205/NUP35/NUP153/NUP93/H2BC14/H3C1/H2AC20/XPO5/H3C7/NUP160/NUP85/H4C15/H4C14/H3C2/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/TNRC6A/H2BC7/H4C4/NUP107/POLR2K/NUP54/DROSHA/H4C3/NUP43/PIWIL2/POLR2D/H2BC13/NUP42/NUP37/H2BC5/DICER1/POLR2B/H2AZ1/H2AC14/FKBP6/H2AC6/H4C6/H2BU1/H2BC4/NUP133/IPO8",72
"R-HSA-73884","Base Excision Repair","55/2399","92/10654",1.24791484569283e-14,9.53268284904242e-13,7.69182600795461e-13,"H2BC10/MUTYH/H2BC17/LIG3/H2AX/APEX1/RPA1/POLE/H2AZ2/LIG1/TERF1/RFC3/RFC5/H2AC8/UNG/FEN1/H2BC12/H2BC9/PARP1/H4C9/H4C13/RFC2/H2BC15/POLD1/POLD3/PCNA/H2BC14/H2AC20/H4C15/H4C14/XRCC1/H4C5/H4C2/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/RPA2/H4C4/RFC4/POLE2/H4C3/H2BC13/H2BC5/H2AZ1/H2AC14/PARP2/H2AC6/H4C6/POLB/H2BU1/H2BC4/NEIL3",55
"R-HSA-5693567","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","70/2399","132/10654",1.63811233169465e-14,1.18547602951586e-12,9.56548696734714e-13,"H2BC10/BRCA2/H2BC17/PIAS4/BLM/MDC1/H2AX/TOP3A/POLK/XRCC2/RPA1/POLE/CCNA2/EXO1/DNA2/RFC3/RFC5/RNF168/TIMELESS/ATM/H2BC12/H2BC9/H4C9/CHEK1/H4C13/RFC2/H2BC15/NSD2/POLD1/POLD3/RAD51AP1/PCNA/H2BC14/CLSPN/TOPBP1/BRIP1/H4C15/H4C14/BARD1/CCNA1/RAD51/H4C5/H4C2/H2BC11/H2BC6/H2BC8/TIPIN/H4C1/H2BC7/RPA2/H4C4/RFC4/PALB2/BRCA1/POLE2/ATR/H4C3/EME1/H2BC13/H2BC5/RMI1/RBBP8/SUMO1/H4C6/H2BU1/GEN1/RHNO1/H2BC4/BRCC3/WRN",70
"R-HSA-5693607","Processing of DNA double-strand break ends","57/2399","98/10654",2.23675716923244e-14,1.5377705538473e-12,1.24081160861631e-12,"H2BC10/H2BC17/PIAS4/BLM/MDC1/H2AX/TOP3A/RPA1/CCNA2/EXO1/DNA2/RFC3/RFC5/RNF168/TIMELESS/ATM/H2BC12/H2BC9/H4C9/CHEK1/H4C13/RFC2/H2BC15/NSD2/H2BC14/CLSPN/TOPBP1/BRIP1/H4C15/H4C14/BARD1/CCNA1/H4C5/H4C2/H2BC11/H2BC6/H2BC8/TIPIN/H4C1/H2BC7/RPA2/H4C4/RFC4/BRCA1/ATR/H4C3/H2BC13/H2BC5/RMI1/RBBP8/SUMO1/H4C6/H2BU1/RHNO1/H2BC4/BRCC3/WRN",57
"R-HSA-3214815","HDACs deacetylate histones","55/2399","94/10654",4.51213879875861e-14,2.95437659442528e-12,2.38385678891808e-12,"H2BC10/MTA1/H2BC17/H3C8/H2AC16/H2AC8/KDM1A/CHD4/H2AW/H2BC12/H2BC9/H3C10/H4C9/H4C13/H2BC15/H2AC21/H3C11/SUDS3/H2BC14/H3C1/H2AC20/H3C7/HDAC2/ARID4A/H4C15/H4C14/H3C2/GATAD2A/H4C5/H4C2/H3C12/HDAC3/H2AC12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2AC11/H2BC7/H4C4/H2AC15/H2AC17/H4C3/H2BC13/RBBP4/H2BC5/MTA3/H2AC14/H2AC6/H4C6/H2BU1/ARID4B/H2BC4/H2AC13",55
"R-HSA-1500620","Meiosis","64/2399","118/10654",5.45361114602828e-14,3.40850696626767e-12,2.75029002292527e-12,"H2BC10/PSMC3IP/BRCA2/H2BC17/BLM/H3C8/H2AX/MLH3/TOP3A/RPA1/H2AZ2/TERF1/LMNB1/H2AC8/ATM/H2BC12/H2BC9/H3C10/H4C9/H4C13/H2BC15/H3-3B/H3C11/REC8/DIDO1/SMC1A/H2BC14/H3C1/H2AC20/H3C7/H4C15/H4C14/H3C2/CDK4/RAD51/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/RPA2/H4C4/SMC3/SYNE2/MND1/BRCA1/ATR/H4C3/STAG1/H2BC13/H2BC5/DMC1/H2AZ1/H2AC14/FKBP6/RBBP8/H2AC6/H4C6/H2BU1/H2BC4",64
"R-HSA-212165","Epigenetic regulation of gene expression","75/2399","149/10654",7.02964287547883e-14,4.2025038929493e-12,3.39095816510512e-12,"DNMT3B/H2BC10/EHMT2/SAP130/MTA1/JARID2/H2BC17/MYBBP1A/BAZ2A/H3C8/H2AX/GTF2H3/POLR2H/DNMT1/TET1/H2AZ2/EP300/DDX21/H2AC8/CHD4/POLR1A/H2BC12/H2BC9/H3C10/H4C9/SIN3A/TBP/H4C13/EZH2/H2BC15/H3-3B/CD3EAP/H3C11/SUV39H1/SUDS3/MTF2/H2BC14/H3C1/H2AC20/H3C7/HDAC2/H4C15/H4C14/H3C2/SIRT1/SMARCA5/GATAD2A/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/POLR1B/H4C4/POLR2K/CDK7/H4C3/TET2/H2BC13/RBBP4/H2BC5/MTA3/H2AZ1/H2AC14/H2AC6/H4C6/H2BU1/ARID4B/H2BC4/AEBP2/SUZ12",75
"R-HSA-69190","DNA strand elongation","27/2399","32/10654",1.76418601389468e-13,9.80119583347948e-12,7.90848643711952e-12,"MCM2/POLA2/MCM7/MCM5/CDC45/MCM3/RPA1/GINS4/GINS1/POLA1/LIG1/PRIM1/DNA2/RFC3/RFC5/MCM4/FEN1/RFC2/POLD1/POLD3/PCNA/MCM8/MCM6/GINS2/RPA2/RFC4/GINS3",27
"R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","47/2399","76/10654",1.78203560608718e-13,9.80119583347948e-12,7.90848643711952e-12,"H2BC10/EHMT2/MTA1/H2BC17/H3C8/H2AX/H2AZ2/H2AC8/CHD4/H2BC12/H2BC9/H3C10/H4C9/H4C13/H2BC15/H3-3B/H3C11/H2BC14/H3C1/H2AC20/H3C7/HDAC2/H4C15/H4C14/H3C2/GATAD2A/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/H4C4/H4C3/H2BC13/RBBP4/H2BC5/MTA3/H2AZ1/H2AC14/H2AC6/H4C6/H2BU1/H2BC4",47
"R-HSA-69306","DNA Replication","66/2399","127/10654",3.25781922294561e-13,1.72288516598085e-11,1.39017872914359e-11,"ORC1/MCM2/CDT1/POLA2/MCM7/SKP1/MCM5/CDC45/MCM3/CDC6/RPA1/POLE/CCNA2/CCNE1/UBE2C/GINS4/GINS1/POLA1/LIG1/PRIM1/MCM10/PSME3/DNA2/RFC3/RFC5/PSMD11/MCM4/FEN1/E2F2/PSMD5/RBX1/ORC2/CDC7/E2F3/ORC6/RFC2/POLD1/POLD3/PCNA/CDC27/MCM8/ANAPC7/MCM6/CCNA1/GMNN/SKP2/GINS2/PSME2/PSMC2/RPA2/RFC4/PSMB1/CDC26/POLE2/PSMA3/PSMA5/ORC4/DBF4/GINS3/ORC3/PSMD7/PSMD10/CCNE2/PSMC6/ANAPC1/PSMA6",66
"R-HSA-5334118","DNA methylation","42/2399","65/10654",3.97869572940822e-13,2.02618763997641e-11,1.63491044787379e-11,"DNMT3B/H2BC10/H2BC17/H3C8/H2AX/DNMT1/H2AZ2/H2AC8/H2BC12/H2BC9/H3C10/H4C9/H4C13/H2BC15/H3-3B/H3C11/H2BC14/H3C1/H2AC20/H3C7/H4C15/H4C14/H3C2/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/H4C4/H4C3/H2BC13/H2BC5/H2AZ1/H2AC14/H2AC6/H4C6/H2BU1/H2BC4",42
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","105/2399","244/10654",4.47568197509442e-13,2.19787954134101e-11,1.77344691795095e-11,"NDC1/THOC6/CHERP/SRRT/DDX39A/POLR2H/SRSF2/CPSF4/SF3A1/SRRM1/WBP11/LSM4/NUP188/HNRNPA0/RNPS1/NUP155/PTBP1/METTL3/DHX15/LSM2/NUP50/SNRNP25/NUP210/HNRNPL/NUP88/EFTUD2/NUP205/NUP35/NUP153/NUP93/SYF2/HNRNPR/CSTF2/NCBP1/HNRNPD/WTAP/SNRPA/HNRNPM/TRA2B/NUP160/NUP85/WDR33/SF3B6/PRPF19/ELAVL2/SNRNP200/ZC3H11A/NUDT21/SNRNP70/ZCRB1/SF3B3/ALYREF/DDX46/PPIL1/CPSF3/NUP107/LSM5/MTREX/POLR2K/SNRPB/SLU7/NUP54/DDX23/HNRNPU/PRPF38A/LSM8/SF3A2/CWC15/U2SURP/ELAVL1/NUP43/FUS/HNRNPF/HNRNPH1/SNRNP40/CPSF2/THOC1/AQR/POLR2D/SRSF7/NUP42/NUP37/POLR2B/WBP4/PRPF4/PHF5A/CCAR1/SRSF1/SF3A3/PPIL4/GTF2F2/HNRNPA2B1/CHTOP/PPIH/METTL14/PPWD1/RBM8A/SNRPE/SNRPG/EIF4A3/NUP133/LSM3/SNRPF/CSTF3/SRSF11",105
"R-HSA-427359","SIRT1 negatively regulates rRNA expression","43/2399","68/10654",6.3088381598941e-13,2.99125947236358e-11,2.41361721253299e-11,"H2BC10/H2BC17/H3C8/H2AX/H2AZ2/H2AC8/H2BC12/H2BC9/H3C10/H4C9/TBP/H4C13/H2BC15/H3-3B/H3C11/SUV39H1/H2BC14/H3C1/H2AC20/H3C7/H4C15/H4C14/H3C2/SIRT1/H4C5/H4C2/H3C12/H2BC11/H2AC4/H2BC6/H2BC8/H4C1/H2BC7/H4C4/H4C3/H2BC13/H2BC5/H2AZ1/H2AC14/H2AC6/H4C6/H2BU1/H2BC4",43
