"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-212165","Epigenetic regulation of gene expression","63/1870","149/10654",1.08495830964646e-12,1.32956709218493e-10,1.01124343884751e-10,"MTA1/EHMT2/H2AZ2/SAP130/GTF2H3/DNMT3B/BAZ2A/MYBBP1A/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/CDK7/RBBP4/POLR2K/TAF1A/H2BC11/H3C11/DDX21/TBP/GATAD2A/H2BC5/H3C7/AEBP2/ZNRD1/MTF2/H2AC4/SIRT1/H2BC7/H3C12/TTF1/POLR1A/SMARCA5/H2AC20/EP300/SAP18/H4C9/MTA3/H4C3/ARID4B/POLR1B/H4C5/H2BC17/H2AC14/H4C6/H4C2/HDAC2/H4C13/H2AC8/CD3EAP/H4C4/JARID2/H2AC6/H4C1/H3C6/H2BC4/H2BC13/TET2",63
"R-HSA-72203","Processing of Capped Intron-Containing Pre-mRNA","88/1870","244/10654",2.17508941746068e-12,2.38093452776737e-10,1.81089351088976e-10,"CHERP/WBP11/THOC6/NUP37/DDX39A/SF3A1/DHX15/SRRT/CPSF2/WTAP/POLR2B/SF3B6/SYF2/HNRNPU/NDC1/LSM8/SNRPF/RNPS1/SNRPE/DHX9/HNRNPA0/SRSF11/POLR2K/ZCRB1/NUP155/SRSF7/LSM5/NUP42/LSM4/PPIH/NUP54/CPSF3/ZC3H11A/SNRNP40/HNRNPH1/U2AF1/GTF2F2/PCF11/SNRPD1/CHTOP/NUP35/SRSF1/METTL14/LSM3/NUP153/SRSF2/NUP210/SNRPG/PPIL4/TRA2B/SRRM1/CWC27/NUP43/POLR2D/SF3B3/PAPOLA/SLU7/CWC15/NUP107/SNRNP25/PPWD1/NUP160/RANBP2/WBP4/HNRNPD/PRPF38A/PRPF40A/NUP133/AQR/CWC22/LSM6/SF3A3/SNRPB/NUP205/PTBP1/SRSF10/ALYREF/CSTF3/CCAR1/NUDT21/DDX23/HNRNPL/U2SURP/MTREX/DDX46/HNRNPF/HNRNPM/UPF3B",88
"R-HSA-5250941","Negative epigenetic regulation of rRNA expression","51/1870","110/10654",2.29615347633352e-12,2.38093452776737e-10,1.81089351088976e-10,"H2AZ2/SAP130/GTF2H3/DNMT3B/BAZ2A/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/CDK7/POLR2K/TAF1A/H2BC11/H3C11/TBP/H2BC5/H3C7/ZNRD1/H2AC4/SIRT1/H2BC7/H3C12/TTF1/POLR1A/SMARCA5/H2AC20/SAP18/H4C9/H4C3/ARID4B/POLR1B/H4C5/H2BC17/H2AC14/H4C6/H4C2/HDAC2/H4C13/H2AC8/CD3EAP/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",51
"R-HSA-427413","NoRC negatively regulates rRNA expression","50/1870","107/10654",2.607193656917e-12,2.51035503537437e-10,1.90932828709561e-10,"H2AZ2/SAP130/GTF2H3/DNMT3B/BAZ2A/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/CDK7/POLR2K/TAF1A/H2BC11/H3C11/TBP/H2BC5/H3C7/ZNRD1/H2AC4/H2BC7/H3C12/TTF1/POLR1A/SMARCA5/H2AC20/SAP18/H4C9/H4C3/ARID4B/POLR1B/H4C5/H2BC17/H2AC14/H4C6/H4C2/HDAC2/H4C13/H2AC8/CD3EAP/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",50
"R-HSA-5693538","Homology Directed Repair","59/1870","138/10654",3.2344224079092e-12,2.90666760390774e-10,2.21075608793232e-10,"PIAS4/ATM/H2AX/H2BC12/POLK/MDC1/BLM/RNF168/RPA1/H2BC6/TOP3A/RPA2/ATR/BARD1/H2BC11/DNA2/RAD51AP1/PCNA/POLD1/BRCA2/H2BC5/PALB2/H2BC7/RFC1/SUMO1/CHEK1/BRIP1/GEN1/TOPBP1/MRE11/H4C9/BRCC3/H4C3/XRCC2/RFC2/POLE2/H4C5/H2BC17/WRN/H4C6/H4C2/RFC4/RPS27A/H4C13/RBBP8/CDK2/H4C4/H4C1/CCNA1/EXO1/POLE/RFC5/CLSPN/H2BC4/PARP2/POLQ/H2BC13/PPP4R2/XRCC1",59
"R-HSA-427389","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","40/1870","76/10654",3.45722904543584e-12,2.91271547077969e-10,2.21535598043059e-10,"MTA1/EHMT2/H2AZ2/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/RBBP4/H2BC11/H3C11/GATAD2A/H2BC5/H3C7/H2AC4/H2BC7/H3C12/TTF1/H2AC20/H4C9/MTA3/H4C3/H4C5/H2BC17/H2AC14/H4C6/H4C2/HDAC2/H4C13/H2AC8/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",40
"R-HSA-1500620","Meiosis","53/1870","118/10654",4.02364047361982e-12,3.19051021084677e-10,2.42664137542149e-10,"H2AZ2/MLH3/ATM/H2AX/H3-3B/H2BC12/H3C8/BLM/RPA1/H3C1/H2AZ1/H3C2/H3C10/H2BC6/TOP3A/RPA2/ATR/H2BC11/LMNB1/H3C11/REC8/BRCA2/H2BC5/H3C7/CDK4/H2AC4/H2BC7/H3C12/SMC1A/H2AC20/MRE11/H4C9/H4C3/H4C5/H2BC17/H2AC14/H4C6/H4C2/SYNE2/H4C13/RBBP8/DIDO1/CDK2/H2AC8/H4C4/H2AC6/H4C1/H3C6/MND1/H2BC4/H2BC13/PSMC3IP/SMC3",53
"R-HSA-2299718","Condensation of Prophase Chromosomes","39/1870","74/10654",6.09793881864564e-12,4.56667862640796e-10,3.47332889436308e-10,"H2AZ2/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/PLK1/H2BC11/H3C11/H2BC5/H3C7/H2AC4/H2BC7/H3C12/H2AC20/H4C9/H4C3/H4C5/H2BC17/H2AC14/H4C6/H4C2/H4C13/H2AC8/CDK1/H4C4/H2AC6/NCAPG2/H4C1/H3C6/H2BC4/SMC4/CCNB1/H2BC13/SMC2",39
"R-HSA-5250924","B-WICH complex positively regulates rRNA expression","44/1870","91/10654",1.26647190950555e-11,8.98528491586040e-10,6.83403678591912e-10,"H2AZ2/MYBBP1A/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/POLR2K/TAF1A/H2BC11/H3C11/DDX21/TBP/H2BC5/H3C7/ZNRD1/H2AC4/H2BC7/H3C12/POLR1A/SMARCA5/H2AC20/EP300/H4C9/H4C3/POLR1B/H4C5/H2BC17/H2AC14/H4C6/H4C2/H4C13/H2AC8/CD3EAP/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",44
"R-HSA-157579","Telomere Maintenance","41/1870","82/10654",1.62252127468462e-11,1.07530135377366e-09,8.17853754939513e-10,"H2AZ2/H2AX/H2BC12/RUVBL2/DKC1/POLA2/RPA1/H2AZ1/H2BC6/RPA2/H2BC11/DNA2/PRIM1/PCNA/POLD1/H2BC5/POLA1/H2AC4/H2BC7/RFC1/LIG1/H2AC20/H4C9/H4C3/RFC2/POLE2/H4C5/H2BC17/H2AC14/H4C6/H4C2/RFC4/H4C13/H2AC8/H4C4/H2AC6/H4C1/POLE/RFC5/H2BC4/H2BC13",41
"R-HSA-5693567","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","56/1870","132/10654",1.67517273213997e-11,1.07530135377366e-09,8.17853754939513e-10,"PIAS4/ATM/H2AX/H2BC12/POLK/MDC1/BLM/RNF168/RPA1/H2BC6/TOP3A/RPA2/ATR/BARD1/H2BC11/DNA2/RAD51AP1/PCNA/POLD1/BRCA2/H2BC5/PALB2/H2BC7/RFC1/SUMO1/CHEK1/BRIP1/GEN1/TOPBP1/MRE11/H4C9/BRCC3/H4C3/XRCC2/RFC2/POLE2/H4C5/H2BC17/WRN/H4C6/H4C2/RFC4/RPS27A/H4C13/RBBP8/CDK2/H4C4/H4C1/CCNA1/EXO1/POLE/RFC5/CLSPN/H2BC4/H2BC13/PPP4R2",56
"R-HSA-69473","G2/M DNA damage checkpoint","45/1870","95/10654",1.80918816245647e-11,1.09409124114567e-09,8.32144985847167e-10,"PIAS4/ATM/TP53/H2AX/H2BC12/MDC1/BLM/RNF168/YWHAZ/RPA1/H2BC6/TOP3A/RPA2/ATR/BARD1/H2BC11/DNA2/H2BC5/H2BC7/SUMO1/CHEK1/BRIP1/TOPBP1/MRE11/H4C9/BRCC3/H4C3/RFC2/H4C5/H2BC17/WRN/H4C6/H4C2/RFC4/H4C13/RBBP8/CDK1/H4C4/H4C1/EXO1/CHEK2/RFC5/H2BC4/CCNB1/H2BC13",45
"R-HSA-212300","PRC2 methylates histones and DNA","38/1870","73/10654",1.86677288919513e-11,1.09409124114567e-09,8.32144985847167e-10,"H2AZ2/DNMT3B/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/RBBP4/H2BC11/H3C11/H2BC5/H3C7/AEBP2/MTF2/H2AC4/H2BC7/H3C12/H2AC20/H4C9/H4C3/H4C5/H2BC17/H2AC14/H4C6/H4C2/H4C13/H2AC8/H4C4/JARID2/H2AC6/H4C1/H3C6/H2BC4/H2BC13",38
"R-HSA-211000","Gene Silencing by RNA","57/1870","136/10654",1.99716789279949e-11,1.12174263312238e-09,8.53176108590661e-10,"H2AZ2/NUP37/H2AX/H3-3B/H2BC12/AGO2/H3C8/POLR2B/NDC1/H3C1/H2AZ1/H3C2/H3C10/H2BC6/POLR2K/H2BC11/NUP155/H3C11/NUP42/DICER1/NUP54/H2BC5/H3C7/TNRC6C/H2AC4/H2BC7/H3C12/NUP35/NUP153/NUP210/H2AC20/H4C9/NUP43/POLR2D/H4C3/NUP107/NUP160/H4C5/RANBP2/H2BC17/H2AC14/NUP133/H4C6/H4C2/PIWIL2/H4C13/RAN/NUP205/H2AC8/H4C4/H2AC6/H4C1/IPO8/H3C6/H2BC4/H2BC13/TDRKH",57
"R-HSA-427359","SIRT1 negatively regulates rRNA expression","36/1870","68/10654",3.34390649723446e-11,1.80303438330882e-09,1.37135365402373e-09,"H2AZ2/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/TAF1A/H2BC11/H3C11/TBP/H2BC5/H3C7/H2AC4/SIRT1/H2BC7/H3C12/H2AC20/H4C9/H4C3/H4C5/H2BC17/H2AC14/H4C6/H4C2/H4C13/H2AC8/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",36
"R-HSA-73854","RNA Polymerase I Promoter Clearance","49/1870","110/10654",3.76087437154558e-11,1.94986871263209e-09,1.48303305177546e-09,"MTA1/EHMT2/H2AZ2/GTF2H3/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/CDK7/RBBP4/POLR2K/TAF1A/H2BC11/H3C11/TBP/GATAD2A/H2BC5/H3C7/ZNRD1/H2AC4/H2BC7/H3C12/TTF1/POLR1A/H2AC20/H4C9/MTA3/H4C3/POLR1B/H4C5/H2BC17/H2AC14/H4C6/H4C2/HDAC2/H4C13/H2AC8/CD3EAP/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",49
"R-HSA-5693607","Processing of DNA double-strand break ends","45/1870","98/10654",6.76434621291896e-11,3.3771624796351e-09,2.56860554050022e-09,"PIAS4/ATM/H2AX/H2BC12/MDC1/BLM/RNF168/RPA1/H2BC6/TOP3A/RPA2/ATR/BARD1/H2BC11/DNA2/H2BC5/H2BC7/SUMO1/CHEK1/BRIP1/TOPBP1/MRE11/H4C9/BRCC3/H4C3/RFC2/H4C5/H2BC17/WRN/H4C6/H4C2/RFC4/RPS27A/H4C13/RBBP8/CDK2/H4C4/H4C1/CCNA1/EXO1/RFC5/CLSPN/H2BC4/H2BC13/PPP4R2",45
"R-HSA-73864","RNA Polymerase I Transcription","49/1870","112/10654",8.28337384179347e-11,3.87523141233526e-09,2.94742729627873e-09,"MTA1/EHMT2/H2AZ2/GTF2H3/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/CDK7/RBBP4/POLR2K/TAF1A/H2BC11/H3C11/TBP/GATAD2A/H2BC5/H3C7/ZNRD1/H2AC4/H2BC7/H3C12/TTF1/POLR1A/H2AC20/H4C9/MTA3/H4C3/POLR1B/H4C5/H2BC17/H2AC14/H4C6/H4C2/HDAC2/H4C13/H2AC8/CD3EAP/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",49
"R-HSA-3214858","RMTs methylate histone arginines","39/1870","79/10654",8.33692217787258e-11,3.87523141233526e-09,2.94742729627873e-09,"H2AZ2/ARID1A/SMARCD1/H2AX/H3C8/WDR77/H3C1/H2AZ1/H3C2/H3C10/H2AC21/H3C11/H3C7/CDK4/H2AC4/H3C12/PRMT3/H2AC13/H2AC11/H2AC20/H4C9/H2AC16/H4C3/H4C5/ACTL6A/ARID2/H2AC14/H4C6/H4C2/H4C13/H2AC8/H4C4/H2AC6/H4C1/WDR5/H3C6/H2AC12/PRMT7/SMARCA4",39
"R-HSA-5625886","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","35/1870","67/10654",1.02759428451234e-10,4.61732365174212e-09,3.51184853724568e-09,"H2AZ2/AR/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/H2BC11/H3C11/H2BC5/H3C7/H2AC4/H2BC7/H3C12/H2AC20/H4C9/H4C3/H4C5/H2BC17/KDM4C/H2AC14/H4C6/H4C2/H4C13/H2AC8/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",35
"R-HSA-69306","DNA Replication","53/1870","127/10654",1.22954341122832e-10,5.34653070430895e-09,4.06646955020843e-09,"SKP1/RBX1/PSMD5/CDT1/PSMA3/PSMD7/POLA2/PSME3/MCM2/RPA1/CDC26/MCM5/PSMB1/PSMA2/PSME2/PSMC2/RPA2/PSMA5/CDC27/PSMD11/DNA2/PRIM1/PCNA/POLD1/POLA1/CCNE2/RFC1/PSMC6/LIG1/PSMA6/RFC2/POLE2/E2F2/RFC4/RPS27A/ANAPC1/ORC3/CDK2/GMNN/CDC7/CCNA1/PSMD10/POLE/RFC5/ANAPC10/MCM8/ORC4/ORC5/MCM7/MCM10/ORC1/MCM3/CDC45",53
"R-HSA-606279","Deposition of new CENPA-containing nucleosomes at the centromere","37/1870","74/10654",1.58580075809926e-10,6.47775582399335e-09,4.92685785769914e-09,"H2AZ2/H2AX/H2BC12/H2AZ1/H2BC6/RBBP4/H2BC11/CENPW/CENPI/H2BC5/H2AC4/H2BC7/SMARCA5/H2AC20/CENPK/HJURP/H4C9/H4C3/NPM1/H4C5/H2BC17/CENPL/H2AC14/H4C6/H4C2/H4C13/KNL1/CENPN/H2AC8/H4C4/H2AC6/H4C1/MIS18A/ITGB3BP/H2BC4/H2BC13/CENPQ",37
"R-HSA-774815","Nucleosome assembly","37/1870","74/10654",1.58580075809926e-10,6.47775582399335e-09,4.92685785769914e-09,"H2AZ2/H2AX/H2BC12/H2AZ1/H2BC6/RBBP4/H2BC11/CENPW/CENPI/H2BC5/H2AC4/H2BC7/SMARCA5/H2AC20/CENPK/HJURP/H4C9/H4C3/NPM1/H4C5/H2BC17/CENPL/H2AC14/H4C6/H4C2/H4C13/KNL1/CENPN/H2AC8/H4C4/H2AC6/H4C1/MIS18A/ITGB3BP/H2BC4/H2BC13/CENPQ",37
"R-HSA-5334118","DNA methylation","34/1870","65/10654",1.81435339713522e-10,7.19337758628903e-09,5.47114615730557e-09,"H2AZ2/DNMT3B/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/H2BC11/H3C11/H2BC5/H3C7/H2AC4/H2BC7/H3C12/H2AC20/H4C9/H4C3/H4C5/H2BC17/H2AC14/H4C6/H4C2/H4C13/H2AC8/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",34
"R-HSA-73772","RNA Polymerase I Promoter Escape","42/1870","91/10654",2.38806851669722e-10,9.19747531573673e-09,6.99542476770855e-09,"H2AZ2/GTF2H3/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/CDK7/POLR2K/TAF1A/H2BC11/H3C11/TBP/H2BC5/H3C7/ZNRD1/H2AC4/H2BC7/H3C12/POLR1A/H2AC20/H4C9/H4C3/POLR1B/H4C5/H2BC17/H2AC14/H4C6/H4C2/H4C13/H2AC8/CD3EAP/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",42
"R-HSA-73728","RNA Polymerase I Promoter Opening","33/1870","63/10654",3.2035103120625e-10,1.19953663907229e-08,9.12344749692654e-09,"H2AZ2/H2AX/H3-3B/H2BC12/H3C8/H3C1/H2AZ1/H3C2/H3C10/H2BC6/H2BC11/H3C11/H2BC5/H3C7/H2AC4/H2BC7/H3C12/H2AC20/H4C9/H4C3/H4C5/H2BC17/H2AC14/H4C6/H4C2/H4C13/H2AC8/H4C4/H2AC6/H4C1/H3C6/H2BC4/H2BC13",33
